District,Enterprises Formed,Investment Rs in Crore,Employment Generated
"Tvm","40885","2407.33","83864"
"Kollam","35265","2056.87","71784"
"Pathanamthitta","16415","826.91","33339"
"Alappuzha","32280","1605.81","63204"
"Kottayam","22425","1473.23","45688"
"Idukki","11731","774.54","24422"
"Ernakulam","38559","3941.13","92814"
"Thrissur","36612","2213.98","77289"
"Palakkad","34305","2159.68","76370"
"Malappuram","37401","2611.57","86469"
"Kozhikode","33719","2406.41","73460"
"Wayanad","9960","751.56","21473"
"Kannur","28687","1988.73","58697"
"Kasaragod","13989","925.8","27782"
