district,population,area_sqkm,density,rural_pop,urban_pop,rural_pct,urban_pct,literacy_rate,hospitals,hospital_beds,icu_beds,ventilators,beds_per_1000,gddp_lakhs,gddp_pct,gddp_per_capita,vax_rate,unemployment_proxy,vulnerability
Kasaragod,1307375,1989.0,657,798328,509047,61.1,38.9,79.36,7,1020,34,14,0.78,3006316,2.62,229951.0,80.3,64.59,82.5
Kannur,2523003,2961.0,852,882017,1640986,35.0,65.0,84.76,10,2930,104,50,1.161,7947730,6.94,315011.0,85.5,67.34,54.5
Wayanad,817420,2130.0,384,785840,31580,96.1,3.9,78.98,5,1120,38,16,1.37,2051832,1.79,251013.0,91.2,58.4,54.5
Kozhikode,3086293,2345.0,1316,1013721,2072572,32.8,67.2,84.74,9,3980,132,64,1.29,9630856,8.4,312053.0,86.5,69.25,58.7
Malappuram,4112920,3554.0,1157,2295709,1817211,55.8,44.2,80.51,12,2540,88,42,0.618,10280415,8.97,249954.0,82.8,74.17,87.0
Palakkad,2809934,4482.0,627,2133124,676810,75.9,24.1,79.7,10,2760,92,44,0.982,8087654,7.06,287824.0,82.7,62.91,69.9
Thrissur,3121200,3027.0,1031,1024794,2096406,32.8,67.2,85.82,11,3840,126,60,1.23,11815620,10.31,378560.0,84.6,64.89,49.3
Ernakulam,3282388,3063.0,1072,1048025,2234363,31.9,68.1,87.0,13,4210,144,72,1.283,15191255,13.25,462811.0,100.0,61.94,23.6
Idukki,1108974,4356.0,255,1056929,52045,95.3,4.7,83.23,7,1280,42,18,1.154,3930679,3.43,354443.0,86.5,53.44,43.8
Kottayam,1974551,2206.0,895,1409158,565393,71.4,28.6,88.62,11,2450,84,40,1.241,7539776,6.58,381848.0,84.8,62.74,40.7
Alappuzha,2127789,1415.0,1504,979643,1148146,46.0,54.0,87.08,9,3120,98,46,1.466,9236849,8.06,434105.0,81.5,62.19,48.0
Pathanamthitta,1197412,2652.0,452,1065799,131613,89.0,11.0,88.74,8,1650,64,28,1.378,3746545,3.27,312887.0,96.5,67.2,24.7
Kollam,2635375,2483.0,1061,1448217,1187158,55.0,45.0,85.01,9,2890,112,54,1.097,10897250,9.51,413499.0,84.3,65.39,51.3
Thiruvananthapuram,3301427,2189.0,1508,1529831,1771596,46.3,53.7,84.37,12,5420,186,92,1.642,11248087,9.81,340704.0,87.5,62.69,52.1
