district,mobility_exposure_score,air_traffic_total,total_vehicles,total_tourism
Ernakulam,86.62,1084314,1559270.0,4598150
Thiruvananthapuram,57.31,449751,1290592.0,4092149
Idukki,32.04,0,199433.0,3967069
Thrissur,31.73,0,1059370.0,2793875
Kasaragod,23.37,0,697203.0,288640
Malappuram,23.36,359403,903670.0,834475
Kozhikode,20.55,0,927388.0,1348313
Alappuzha,16.38,0,697203.0,752463
Kannur,15.94,124965,601790.0,860335
Kottayam,15.08,0,639616.0,659070
Kollam,13.99,0,776314.0,497215
Pathanamthitta,12.84,0,424277.0,387035
Palakkad,10.94,0,675991.0,614484
Wayanad,10.73,0,139151.0,1292090
